mct_course_id,title,org,course_number,run,package_path,module_count,lesson_count
429,Course Intro: Entrepreneurial Myths & Entrepreneurial Mindset,SKILLOURFUTURE,MCT-429,RUN-429,course-intro-entrepreneurial-myths-entrepreneurial-mindset/course-intro-entrepreneurial-myths-entrepreneurial-mindset.tar.gz,1,5
430,Module 1: Start with What Matters - Problem Definition,SKILLOURFUTURE,MCT-430,RUN-430,module-1-start-with-what-matters-problem-definition/module-1-start-with-what-matters-problem-definition.tar.gz,1,14
431,Module 2: From Problems to Possibilities - Ideation,SKILLOURFUTURE,MCT-431,RUN-431,module-2-from-problems-to-possibilities-ideation/module-2-from-problems-to-possibilities-ideation.tar.gz,1,20
433,Module 3: Market Testing for Your Idea - Prototyping,SKILLOURFUTURE,MCT-433,RUN-433,module-3-market-testing-for-your-idea-prototyping/module-3-market-testing-for-your-idea-prototyping.tar.gz,1,16
442,Module 4: Storytelling Your Prototype and Build Your Business Model Canvas,SKILLOURFUTURE,MCT-442,RUN-442,module-4-storytelling-your-prototype-and-build-your-business/module-4-storytelling-your-prototype-and-build-your-business.tar.gz,1,13
441,Module 5: Building a Team That Can Build the Dream,SKILLOURFUTURE,MCT-441,RUN-441,module-5-building-a-team-that-can-build-the-dream/module-5-building-a-team-that-can-build-the-dream.tar.gz,1,13
447,Module 6: Finding Available Support in Your Ecosystem,SKILLOURFUTURE,MCT-447,RUN-447,module-6-finding-available-support-in-your-ecosystem/module-6-finding-available-support-in-your-ecosystem.tar.gz,1,12
448,Wrap Up: Claim Your Course Certificate,SKILLOURFUTURE,MCT-448,RUN-448,wrap-up-claim-your-course-certificate/wrap-up-claim-your-course-certificate.tar.gz,1,1
334,Growing your Youth-Led Climate Organization,SKILLOURFUTURE,MCT-334,RUN-334,growing-your-youth-led-climate-organization/growing-your-youth-led-climate-organization.tar.gz,1,7
419,Content Creation for Green Skills,SKILLOURFUTURE,MCT-419,RUN-419,content-creation-for-green-skills/content-creation-for-green-skills.tar.gz,1,6
289,A podcast series – .future,SKILLOURFUTURE,MCT-289,RUN-289,a-podcast-series-future/a-podcast-series-future.tar.gz,1,6
288,Computer Security,SKILLOURFUTURE,MCT-288,RUN-288,computer-security/computer-security.tar.gz,1,17
287,Digital Literacy,SKILLOURFUTURE,MCT-287,RUN-287,digital-literacy/digital-literacy.tar.gz,1,22
297,Productivity Programmes,SKILLOURFUTURE,MCT-297,RUN-297,productivity-programmes/productivity-programmes.tar.gz,1,33
292,The animated guide to all things tech,SKILLOURFUTURE,MCT-292,RUN-292,the-animated-guide-to-all-things-tech/the-animated-guide-to-all-things-tech.tar.gz,1,8
357,Module 1: Course Introduction,SKILLOURFUTURE,MCT-357,RUN-357,module-1-course-introduction/module-1-course-introduction.tar.gz,1,2
359,Module 2: Defining Who You Are,SKILLOURFUTURE,MCT-359,RUN-359,module-2-defining-who-you-are/module-2-defining-who-you-are.tar.gz,1,6
360,Module 3: Building Your Personal Brand,SKILLOURFUTURE,MCT-360,RUN-360,module-3-building-your-personal-brand/module-3-building-your-personal-brand.tar.gz,1,6
361,Module 4: Establishing Your Personal Brand,SKILLOURFUTURE,MCT-361,RUN-361,module-4-establishing-your-personal-brand/module-4-establishing-your-personal-brand.tar.gz,1,8
362,Module 5: Conclusion,SKILLOURFUTURE,MCT-362,RUN-362,module-5-conclusion/module-5-conclusion.tar.gz,1,1
372,Module 1 Introduction,SKILLOURFUTURE,MCT-372,RUN-372,module-1-introduction/module-1-introduction.tar.gz,1,2
374,Module 2 : Introduction to Personal Finance,SKILLOURFUTURE,MCT-374,RUN-374,module-2-introduction-to-personal-finance/module-2-introduction-to-personal-finance.tar.gz,1,5
376,Module 3 Income and Expenses,SKILLOURFUTURE,MCT-376,RUN-376,module-3-income-and-expenses/module-3-income-and-expenses.tar.gz,1,3
378,"Module 4 Savings, Inflation, Insurance, Credit",SKILLOURFUTURE,MCT-378,RUN-378,module-4-savings-inflation-insurance-credit/module-4-savings-inflation-insurance-credit.tar.gz,1,4
377,Module 5 Investments,SKILLOURFUTURE,MCT-377,RUN-377,module-5-investments/module-5-investments.tar.gz,1,2
379,Module 6 Vision and Goal Setting,SKILLOURFUTURE,MCT-379,RUN-379,module-6-vision-and-goal-setting/module-6-vision-and-goal-setting.tar.gz,1,2
380,Module 7 Conclusion,SKILLOURFUTURE,MCT-380,RUN-380,module-7-conclusion/module-7-conclusion.tar.gz,1,1
363,Modul 1: Pengenalan Kursus,SKILLOURFUTURE,MCT-363,RUN-363,modul-1-pengenalan-kursus/modul-1-pengenalan-kursus.tar.gz,1,2
364,Modul 2: Tentukan Siapa Dirimu,SKILLOURFUTURE,MCT-364,RUN-364,modul-2-tentukan-siapa-dirimu/modul-2-tentukan-siapa-dirimu.tar.gz,1,5
365,Modul 3: Bangun Personal Brand-mu,SKILLOURFUTURE,MCT-365,RUN-365,modul-3-bangun-personal-brand-mu/modul-3-bangun-personal-brand-mu.tar.gz,1,6
366,Modul 4: Membangun Personal Brand-mu,SKILLOURFUTURE,MCT-366,RUN-366,modul-4-membangun-personal-brand-mu/modul-4-membangun-personal-brand-mu.tar.gz,1,8
367,Modul 5: Kesimpulan,SKILLOURFUTURE,MCT-367,RUN-367,modul-5-kesimpulan/modul-5-kesimpulan.tar.gz,1,1
71,"Apps, Websites & Technologies",SKILLOURFUTURE,MCT-71,RUN-71,apps-websites-technologies/apps-websites-technologies.tar.gz,1,7
133,Building Skills to Boost your Business,SKILLOURFUTURE,MCT-133,RUN-133,building-skills-to-boost-your-business/building-skills-to-boost-your-business.tar.gz,1,4
132,Learning and Discovering with your Mobile,SKILLOURFUTURE,MCT-132,RUN-132,learning-and-discovering-with-your-mobile/learning-and-discovering-with-your-mobile.tar.gz,1,4
70,Mobile Fundamentals,SKILLOURFUTURE,MCT-70,RUN-70,mobile-fundamentals/mobile-fundamentals.tar.gz,1,6
1,[MV101] From Aspiring Mover to Mover Facilitator,SKILLOURFUTURE,MCT-1,RUN-1,mv101-from-aspiring-mover-to-mover-facilitator/mv101-from-aspiring-mover-to-mover-facilitator.tar.gz,1,3
301,Essential Facilitation Skills: Mastering the Fundamentals,SKILLOURFUTURE,MCT-301,RUN-301,essential-facilitation-skills-mastering-the-fundamentals/essential-facilitation-skills-mastering-the-fundamentals.tar.gz,1,5
8,Leadership in Action [LEVEL 1],SKILLOURFUTURE,MCT-8,RUN-8,leadership-in-action-level-1/leadership-in-action-level-1.tar.gz,1,6
183,Leadership in Action [LEVEL 2],SKILLOURFUTURE,MCT-183,RUN-183,leadership-in-action-level-2/leadership-in-action-level-2.tar.gz,1,6
185,Leadership in Action [LEVEL 3],SKILLOURFUTURE,MCT-185,RUN-185,leadership-in-action-level-3/leadership-in-action-level-3.tar.gz,1,6
187,Storytelling - Tell Your Own Story [LEVEL 1],SKILLOURFUTURE,MCT-187,RUN-187,storytelling-tell-your-own-story-level-1/storytelling-tell-your-own-story-level-1.tar.gz,1,6
136,Wellbeing for Changemakers [LEVEL 1],SKILLOURFUTURE,MCT-136,RUN-136,wellbeing-for-changemakers-level-1/wellbeing-for-changemakers-level-1.tar.gz,1,6
434,Module 0: Welcome - this is not your typical course,SKILLOURFUTURE,MCT-434,RUN-434,module-0-welcome-this-is-not-your-typical-course/module-0-welcome-this-is-not-your-typical-course.tar.gz,1,3
435,Module 1: Overcome Your Fear of Public Speaking,SKILLOURFUTURE,MCT-435,RUN-435,module-1-overcome-your-fear-of-public-speaking/module-1-overcome-your-fear-of-public-speaking.tar.gz,1,5
437,Module 2: The Secret to Impactful Communication,SKILLOURFUTURE,MCT-437,RUN-437,module-2-the-secret-to-impactful-communication/module-2-the-secret-to-impactful-communication.tar.gz,1,2
438,Module 3: Powerful Presentation Skills,SKILLOURFUTURE,MCT-438,RUN-438,module-3-powerful-presentation-skills/module-3-powerful-presentation-skills.tar.gz,1,2
439,Module 4: Master the Art of Storytelling,SKILLOURFUTURE,MCT-439,RUN-439,module-4-master-the-art-of-storytelling/module-4-master-the-art-of-storytelling.tar.gz,1,4
440,Module 5: Elevate your Stage Presence,SKILLOURFUTURE,MCT-440,RUN-440,module-5-elevate-your-stage-presence/module-5-elevate-your-stage-presence.tar.gz,1,2
443,Module 6: Own Your Voice as a Way of Life,SKILLOURFUTURE,MCT-443,RUN-443,module-6-own-your-voice-as-a-way-of-life/module-6-own-your-voice-as-a-way-of-life.tar.gz,1,3
444,Module 7: Public Speaking for Advocacy,SKILLOURFUTURE,MCT-444,RUN-444,module-7-public-speaking-for-advocacy/module-7-public-speaking-for-advocacy.tar.gz,1,2
445,Module 8: Public Speaking for Branding and Job Readiness,SKILLOURFUTURE,MCT-445,RUN-445,module-8-public-speaking-for-branding-and-job-readiness/module-8-public-speaking-for-branding-and-job-readiness.tar.gz,1,2
446,Module 9: Public Speaking for Young Entrepreneurs,SKILLOURFUTURE,MCT-446,RUN-446,module-9-public-speaking-for-young-entrepreneurs/module-9-public-speaking-for-young-entrepreneurs.tar.gz,1,2
345,Module 1: Spot the Challenge,SKILLOURFUTURE,MCT-345,RUN-345,module-1-spot-the-challenge/module-1-spot-the-challenge.tar.gz,1,20
346,Module 2: Listen to Yourself,SKILLOURFUTURE,MCT-346,RUN-346,module-2-listen-to-yourself/module-2-listen-to-yourself.tar.gz,1,11
347,Module 3: Find Your Path,SKILLOURFUTURE,MCT-347,RUN-347,module-3-find-your-path/module-3-find-your-path.tar.gz,1,9
349,Module 4: Consider the Bigger Picture,SKILLOURFUTURE,MCT-349,RUN-349,module-4-consider-the-bigger-picture/module-4-consider-the-bigger-picture.tar.gz,1,10
350,Module 5: Unlock Your Inner Entrepreneur,SKILLOURFUTURE,MCT-350,RUN-350,module-5-unlock-your-inner-entrepreneur/module-5-unlock-your-inner-entrepreneur.tar.gz,1,9
351,Module 6: Build Your Green Career,SKILLOURFUTURE,MCT-351,RUN-351,module-6-build-your-green-career/module-6-build-your-green-career.tar.gz,1,12
